brand,name,model-name,image-src,price,sale,rate,no-reviews,display-size,ram,HDD,processor,graphics-card,link-href,operating-system,SSD,rate-weight,site
Lenovo,"Lenovo Legion 7 82n600Q3ED Ryzen 9 5900HX, 32GB Ram, 2x 1TB SSD, NVIDIA GeForce RTX 3080 - Storm Grey","Lenovo Legion 7 82n600Q3ED Ryzen 9 5900HX, 32GB Ram, 2x 1TB SSD, NVIDIA GeForce RTX 3080 - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/8/2/82n600q3ed-1.jpg,95810.0,11.53,0.0,0.0,16 inches,32 GP,1TB,AMD,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-legion-7-82n600q3ed-ryzen-9-5900hx-32gb-ram-2x-1tb-ssd-nvidia-geforce-rtx-3080-storm-grey.html,NONE,NONE,0.0,dream2000
Hp,"Hp Pavilion Laptop, Intel® Core™ i5-1135G7 , 8GB Ram, 512GB SSD, Nvidia MX350 2GB, 15.6"", 15-EG0062NE","Hp Pavilion Laptop, Intel® Core™ i5-1135G7 , 8GB Ram, 512GB SSD, Nvidia MX350 2GB, 15.6"", 15-EG0062NE",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-pavilion-laptop--i5-8g-512ssd-nvidia--mx-350-2g-15.6-fhd-15-15-eg0062ne-1.jpg,27300.0,11.36,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/hp-pavilion-laptop-core-i5-8gb-ram-512gb-ssd-nvidia-mx350-2gb-15-6-inch-15-eg0062ne.html,NONE,NONE,0.0,dream2000
HP,"HP ProBook 450 G9 Intel® Core™ i7-1255U - 8G - 512G SSD - NVIDIA® GeForce® MX570 - 15.6"" FHD - Silver","HP ProBook 450 G9 Intel® Core™ i7-1255U - 8G - 512G SSD - NVIDIA® GeForce® MX570 - 15.6"" FHD - Silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-probook-450-g9--00000.jpg,37000.0,11.48,0.0,0.0,15.6 inches,NONE,512GB,intel Core i7,NVIDIA® GeForce MX,https://dream2000.com/en/hp-probook-450-g9-intelr-coretm-i7-1255u-8g-512g-ssd-nvidiar-geforcer-mx570-15-6-fhd-silver.html,NONE,NONE,0.0,dream2000
Asus,"Asus Zenbook UX5304VA-OLED517W Intel® Core™i7-1355U,16GB, 512GB SSD, Intel® Iris Xe Graphics, 13.3"" 2.8K OLED, Win11 - Silver","Asus Zenbook UX5304VA-OLED517W Intel® Core™i7-1355U,16GB, 512GB SSD, Intel® Iris Xe Graphics, 13.3"" 2.8K OLED, Win11 - Silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/u/x/ux5304va-oled517w-00000.jpg,55499.0,11.48,0.0,0.0,13.3 inches,16 GP,512GB,NONE,Internal Intel card,https://dream2000.com/en/asus-zenbook-ux5304va-oled517w-intelr-coretmi7-1355u-16gb-512gb-ssd-intelr-iris-xe-graphics-13-3-2-8k-oled-win11-silver.html,Windows,NONE,0.0,dream2000
Asus,"Asus ROG Ally Rayzen Z1, 16GB, 512GB,  AMD Radeon, 7 inch 120HZ, Win11 - RC71L-NH022W","Asus ROG Ally Rayzen Z1, 16GB, 512GB,  AMD Radeon, 7 inch 120HZ, Win11 - RC71L-NH022W",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-rog-ally-rayzen-z1-9999.jpg,36999.0,11.48,0.0,0.0,NONE,16 GP,512GB,NONE,AMD Radeon™,https://dream2000.com/en/asus-rog-ally-rayzen-z1-16gb-512gb-amd-radeon-7-inch-120hz-win11-rc71l-nh022w.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad Slim 3 15AMN8 82XQ00BNED Ryzen 5- 7520U, 8GB, 512GB SSD, AMD Radeon™  ,15.6"" FHD,  Win11, Arctic Grey","Lenovo IdeaPad Slim 3 15AMN8 82XQ00BNED Ryzen 5- 7520U, 8GB, 512GB SSD, AMD Radeon™  ,15.6"" FHD,  Win11, Arctic Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-slim-3-15amn8-82xq00bned.jpg,22199.0,11.2,0.0,0.0,15.6 inches,8 GP,512GB,AMD,AMD Radeon™,https://dream2000.com/en/lenovo-ideapad-slim-3-15amn8-82xq00bned-ryzen-5-7520u-8gb-512gb-ssd-amd-radeontm-15-6-fhd-win11-arctic-grey.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo 82XV00JNED-LOQ 15IRH8, Intel® Core™ i7-13620H, 16GB, 512 GB SSD,  NVIDIA® GeForce RTX 4060 , 15.6"" FHD, win 11 - Storm Grey","Lenovo 82XV00JNED-LOQ 15IRH8, Intel® Core™ i7-13620H, 16GB, 512 GB SSD,  NVIDIA® GeForce RTX 4060 , 15.6"" FHD, win 11 - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-82xv00jned-loq-15irh8-8.jpg,58199.0,11.55,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-82xv00jned-loq-15irh8-intelr-coretm-i7-13620h-16gb-512-gb-ssd-nvidiar-geforce-rtx-15-6-fhd-win-11-storm-grey.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 5 15IAL7  2SF00GGED Intel® Core™ i5-1235U 16GB - 512GB SSD - NVIDIA® GeForce MX550 -15.6"" FHD - Storm Grey","Lenovo IdeaPad 5 15IAL7  2SF00GGED Intel® Core™ i5-1235U 16GB - 512GB SSD - NVIDIA® GeForce MX550 -15.6"" FHD - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-5-15ial7--2sf00gged-88.jpg,28499.0,11.49,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/lenovo-ideapad-5-15ial7-2sf00gged-intelr-coretm-i5-1235u-16gb-512gbssd-nvidiar-geforce-mx550-15-6-fhd-storm-grey.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo 2XV007BED-LOQ 15IRH8 Intel® Core™ i7-13620H,16GB, 512SSD, NVIDIA® GeForce RTX™ 4050, 15.6"" FHD - Storm Grey","Lenovo 2XV007BED-LOQ 15IRH8 Intel® Core™ i7-13620H,16GB, 512SSD, NVIDIA® GeForce RTX™ 4050, 15.6"" FHD - Storm Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-2xv007bed-loq-15irh8-99.jpg,52999.0,11.67,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/lenovo-2xv007bed-loq-15irh8-intelr-coretm-i7-13620h-16g-b-512ssd-nvidiar-geforce-rtxtm-4050-15-6-fhd-storm-grey.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 1 15IAU7, 82QD007WED Intel® Core™ i5-1235U, 8GB, 512SSD, Intel® Iris® Xe Graphics, 15.6"" FHD, Win11 - Cloud Grey","Lenovo IdeaPad 1 15IAU7, 82QD007WED Intel® Core™ i5-1235U, 8GB, 512SSD, Intel® Iris® Xe Graphics, 15.6"" FHD, Win11 - Cloud Grey",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-1-15iau7-9.jpg,23499.0,11.65,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,Internal Intel card,https://dream2000.com/en/lenovo-ideapad-1-15iau7-82qd007wed-intelr-coretm-i5-1235u-8gb-512ssd-intelr-irisr-xe-graphics-15-6-fhd-win11-cloud-grey.html,Windows,NONE,0.0,dream2000
HP,"HP Envy 13-bf0003ne Intel® Core™ i5-1230U, 8GB, 512GB SSD, Intel® UHD Graphics, Touch-13.3 WUXGA, Win11, Natural silver","HP Envy 13-bf0003ne Intel® Core™ i5-1230U, 8GB, 512GB SSD, Intel® UHD Graphics, Touch-13.3 WUXGA, Win11, Natural silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-envy-13-bf0003ne--0.jpg,41999.0,11.58,0.0,0.0,13.3 inches,NONE,512GB,intel Core i5,Internal Intel card,https://dream2000.com/en/hp-envy-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-intelr-uhd-graphics-touch-13-3-wuxga-win11-natural-silver.html,Windows,NONE,0.0,dream2000
Dell,"Dell Inspiron 3520-E003, intel® Core™ i5-1135G7, 8GB, 512GB SSD, Intel® UHD, 15.6"" FHD, Win 11 - Carbon Black","Dell Inspiron 3520-E003, intel® Core™ i5-1135G7, 8GB, 512GB SSD, Intel® UHD, 15.6"" FHD, Win 11 - Carbon Black",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/d/e/dell-inspiron-3520-e002-0_1.jpg,22199.0,11.56,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,Internal Intel card,https://dream2000.com/en/dell-inspiron-3520-e002-intelr-coretm-i5-1135g7-8gb-512gb-ssd-intelr-uhd-15-6-fhd-win-11-carbon-black.html,Windows,NONE,0.0,dream2000
Dell,"Dell Inspiron 3520-E002, intel® Core™ i5-1135G7, 8GB, 256GB SSD, Intel® UHD, 15.6"" FHD, Win 11 - Carbon Black","Dell Inspiron 3520-E002, intel® Core™ i5-1135G7, 8GB, 256GB SSD, Intel® UHD, 15.6"" FHD, Win 11 - Carbon Black",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/d/e/dell-inspiron-3520-e002-0.jpg,21000.0,11.39,0.0,0.0,15.6 inches,8 GP,256GB,intel Core i5,Internal Intel card,https://dream2000.com/en/dell-inspiron-3520-e002-intelr-coretm-i5-1135g7-8gb-256gb-ssd-intelr-uhd-15-6-fhd-win-11-carbon-black.html,Windows,NONE,0.0,dream2000
Dell,"Dell Vostro 3520-E003 Intel® Core™ i7 1255U, 8GB, 512GB SSD, NVIDIA® GeForce® MX550, 15.6"" FHD, Finger Print, Titan Grey Palmrest","Dell Vostro 3520-E003 Intel® Core™ i7 1255U, 8GB, 512GB SSD, NVIDIA® GeForce® MX550, 15.6"" FHD, Finger Print, Titan Grey Palmrest",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/d/e/dell-vostro-3520-e003.jpg,30199.0,11.7,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i7,NVIDIA® GeForce MX,https://dream2000.com/en/dell-vostro-3520-e003-intelr-coretm-i7-1255u-8gb-512gb-ssd-nvidiar-geforcer-mx550-15-6-fhd-finger-print-titan-grey-palmrest.html,NONE,NONE,0.0,dream2000
Asus,"Asus D1603QA-FP005W AMD Ryzen™ 5 5600H, 8GB, 512GB SSD, AMD Radeon, 16.0""WUXGA, Win 11 - Quit Blue","Asus D1603QA-FP005W AMD Ryzen™ 5 5600H, 8GB, 512GB SSD, AMD Radeon, 16.0""WUXGA, Win 11 - Quit Blue",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-d1603qa-fp005w-8.jpg,23199.0,11.45,0.0,0.0,NONE,8 GP,512GB,NONE,AMD Radeon™,https://dream2000.com/en/asus-d1603qa-fp005w-amd-ryzentm-5-5600h-8gb-512gb-ssd-amd-radeon-16-0-wuxga-win-11-quit-blue.html,Windows,NONE,0.0,dream2000
Asus,"Asus B9400CEA-KC007R Intel® Core™ i7-1165G7G, 16GB, 1TB SSD, Intel Iris Xᵉ Graphics, 14"" FHD, Win 11 - Black","Asus B9400CEA-KC007R Intel® Core™ i7-1165G7G, 16GB, 1TB SSD, Intel Iris Xᵉ Graphics, 14"" FHD, Win 11 - Black",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-b9400cea-kc007r-.jpg,39999.0,11.51,0.0,0.0,14 inches,16 GP,1TB,NONE,Internal Intel card,https://dream2000.com/en/asus-b9400cea-kc007r-intelr-coretm-i7-1165g7g-16gb-1tb-ssd-intel-iris-x-graphics-14-fhd-win-11-black.html,Windows,NONE,0.0,dream2000
Asus,"Asus B9450FA-BM1050R Intel® Core™ i7-10510U, 16GB, 1TB SSD, UHD Graphics 620, 14"" FHD, Win 10 - Black","Asus B9450FA-BM1050R Intel® Core™ i7-10510U, 16GB, 1TB SSD, UHD Graphics 620, 14"" FHD, Win 10 - Black",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-b9450fa-bm1050r.jpg,30400.0,11.63,0.0,0.0,14 inches,16 GP,1TB,intel Core i7,Internal Intel card,https://dream2000.com/en/asus-b9450fa-bm1050r-intelr-coretm-i7-10510u-16gb-1tb-ssd-uhd-graphics-620-14-fhd-win-10-black.html,Windows,NONE,0.0,dream2000
Asus,"Asus D3502QA-OLED005W Ryzen 5 5600H, 8GB, 512GB SSD, AMD Radeon, 15.6"" OLED, Win 11 -  Green","Asus D3502QA-OLED005W Ryzen 5 5600H, 8GB, 512GB SSD, AMD Radeon, 15.6"" OLED, Win 11 -  Green",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-d3502qa-oled005w-00_2.jpg,26500.0,11.37,0.0,0.0,15.6 inches,8 GP,512GB,NONE,AMD Radeon™,https://dream2000.com/en/asus-d3502qa-oled005w-ryzen-5-5600h-8gb-512gb-ssd-amd-radeon-15-6-oled-win-11-green.html,Windows,NONE,0.0,dream2000
Asus,"Asus E203NAH Intel® Celeron® N3350, 4GB, 500GB HDD, Intel® HD Graphics, 11.6-inch, HD, Win10 - Gray","Asus E203NAH Intel® Celeron® N3350, 4GB, 500GB HDD, Intel® HD Graphics, 11.6-inch, HD, Win10 - Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/a/s/asus-e203nah-.jpg,8299.0,11.71,0.0,0.0,11.6 inches,4 GP,NONE,NONE,Internal Intel card,https://dream2000.com/en/asus-e203nah-intelr-celeronr-n3350-4gb-500gb-hdd-intelr-hd-graphics-11-6-inch-hd-win10-gray.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo V15 G1-82NB015ED Intel® Core™ i3-10110, 4GB, 1T HDD, Intel® UHD Graphics, 15.6"" FHD - Iron_Gray","Lenovo V15 G1-82NB015ED Intel® Core™ i3-10110, 4GB, 1T HDD, Intel® UHD Graphics, 15.6"" FHD - Iron_Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-v15-g1-82nb015ed-0.jpg,10999.0,12.0,0.0,0.0,15.6 inches,4 GP,1TB,intel Core i3,Internal Intel card,https://dream2000.com/en/lenovo-v15-g1-82nb015ed-intelr-coretm-i3-10110-4gb-1t-hdd-intelr-uhd-graphics-15-6-fhd-iron-gray.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo V15 G1-82NB000GED Intel® Core™ i3-10110U- 4GB -1TB HDD  - Intel® UHD Graphics - 15.6"" FHD - Iron_Gray","Lenovo V15 G1-82NB000GED Intel® Core™ i3-10110U- 4GB -1TB HDD  - Intel® UHD Graphics - 15.6"" FHD - Iron_Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-v15-g1-82nb000ged.jpg,11099.0,11.2,0.0,0.0,15.6 inches,4 GP,1TB,intel Core i3,Internal Intel card,https://dream2000.com/en/lenovo-v15-g1-82nb000ged-intelr-coretm-i3-10110u-4gb-1tb-hdd-intelr-uhd-graphics-15-6-fhd-iron-gray.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 1 15IAU7 82QD008NED Intel® Core™ i7-1255U - 8GB - 512GB SSD - Intel® Iris® Xe Graphics - 15.6"" FHD - Win11 - Cloud Gray","Lenovo IdeaPad 1 15IAU7 82QD008NED Intel® Core™ i7-1255U - 8GB - 512GB SSD - Intel® Iris® Xe Graphics - 15.6"" FHD - Win11 - Cloud Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-1-15iau7-82qd008ned-_1.jpg,29499.0,11.68,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i7,Internal Intel card,https://dream2000.com/en/lenovo-ideapad-1-15iau7-82qd008ned-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-irisr-xe-graphics-15-6-fhd-win-11-cloud-gray.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 1 15IAU7 82QD008LED Intel® Core™ i7-1255U, 8GB, 512GB SSD, Intel® Iris® Xe Graphics,15.6"" FHD, Win11 - Abyss Blue","Lenovo IdeaPad 1 15IAU7 82QD008LED Intel® Core™ i7-1255U, 8GB, 512GB SSD, Intel® Iris® Xe Graphics,15.6"" FHD, Win11 - Abyss Blue",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-1-15iau7-82qd008led-0.jpg,29499.0,11.68,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i7,Internal Intel card,https://dream2000.com/en/lenovo-ideapad-1-15iau7-82qd008led-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-irisr-xe-graphics-15-6-fhd-win11-abyss-blue.html,Windows,NONE,0.0,dream2000
Lenovo,"Lenovo Flex 5-82HU00V9ED AMD Ryzen™ 5 5500U, 8GB, 512GB SSD, AMD Radeon™ Graphics , 14"" FHD - Abyss Blue","Lenovo Flex 5-82HU00V9ED AMD Ryzen™ 5 5500U, 8GB, 512GB SSD, AMD Radeon™ Graphics , 14"" FHD - Abyss Blue",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-flex-5-82hu00v9ed.jpg,27899.0,11.43,0.0,0.0,14 inches,8 GP,512GB,AMD,AMD Radeon™,https://dream2000.com/en/lenovo-flex-5-82hu00v9ed-amd-ryzentm-5-5500u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-abyss-blue.html,NONE,NONE,0.0,dream2000
Lenovo,"Lenovo IdeaPad 5 82FG00WGED Intel® Core™ i5-1135G7 - 8GB - 512GB SSD - NVIDIA® GeForce MX450 2GB - 15.6"" FHD - Graphite Gray","Lenovo IdeaPad 5 82FG00WGED Intel® Core™ i5-1135G7 - 8GB - 512GB SSD - NVIDIA® GeForce MX450 2GB - 15.6"" FHD - Graphite Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/l/e/lenovo-ideapad-5-82fg00wged-.jpg,26199.0,11.49,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/lenovo-ideapad-5-82fg00wged-intelr-coretm-i5-1135g7-8gb-512gb-ssd-nvidiar-geforce-mx450-2gb-15-6-fhd-graphite-gray.html,NONE,NONE,0.0,dream2000
MSI,"MSI Modern 14 B11M Intel® Core™ i7-1195G75 - 8GB - 512GB SSD - UHD Graphics - 14"" FHD - Win11 - Carbon Gray","MSI Modern 14 B11M Intel® Core™ i7-1195G75 - 8GB - 512GB SSD - UHD Graphics - 14"" FHD - Win11 - Carbon Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/m/s/msi-modern-14-b11m-00.jpg,24210.0,11.64,0.0,0.0,14 inches,8 GP,512GB,intel Core i7,Internal Intel card,https://dream2000.com/en/msi-modern-14-b11m-intelr-coretm-i7-1195g75-8gb-512gb-ssd-uhd-graphics-14-fhd-win11-carbon-gray.html,Windows,NONE,0.0,dream2000
HP,"HP 15-fa1004ne-Victus Gaming Ryzen 5-7535HS - 16GB - 512GB - NVIDIA GeForce RTX 2050 4GB - 15.6"" FHD - Win11 – Gray","HP 15-fa1004ne-Victus Gaming Ryzen 5-7535HS - 16GB - 512GB - NVIDIA GeForce RTX 2050 4GB - 15.6"" FHD - Win11 – Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15-fa1004ne.jpg,37999.0,11.63,0.0,0.0,15.6 inches,NONE,512GB,AMD,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-15-fa1004ne-victus-gaming-ryzen-5-7535hs-16gb-512gb-nvidia-geforce-rtx-2050-4gb-15-6-fhd-win11-gray.html,Windows,NONE,0.0,dream2000
HP,HP 15-FB1003NE Victus Gaming Ryzen 5-7535HS - 16GB - 1TB SSD - NVIDIA GeForce RTX 2050 4GB - 15.6” FHD - Win11 - Gray,HP 15-FB1003NE Victus Gaming Ryzen 5-7535HS - 16GB - 1TB SSD - NVIDIA GeForce RTX 2050 4GB - 15.6” FHD - Win11 - Gray,https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15-fa1090ne-victus-_1.jpg,39999.0,11.5,0.0,0.0,15.6 inches,NONE,1TB,AMD,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-15-fb1003ne-victus-gaming-ryzen-5-7535hs-16gb-1tb-ssd-nvidia-geforce-rtx-2050-4gb-15-6-fhd-win11-gray.html,Windows,NONE,0.0,dream2000
HP,"HP 15-fa1090ne Victus Gaming Intel® Core™ i5-13420H - 8GB - 1TB SSD - Nvidia GeForce RTX 2050 4GB - 15.6"" FHD - Win11 - Gray","HP 15-fa1090ne Victus Gaming Intel® Core™ i5-13420H - 8GB - 1TB SSD - Nvidia GeForce RTX 2050 4GB - 15.6"" FHD - Win11 - Gray",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15-fa1090ne-victus-.jpg,40999.0,11.45,0.0,0.0,15.6 inches,8 GP,1TB,intel Core i5,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-15-fa1090ne-victus-gaming-intelr-coretm-i5-13420h-8gb-1tb-ssd-nvidia-geforce-rtx-2050-4gb-15-6-fhd-win11-gray.html,Windows,NONE,0.0,dream2000
HP,"HP 15S-FQ5042NE Intel® Core™i7-1255U - 16GB - 512GB - Intel Iris Xe - 15.6"" FHD - Win11 - Silver","HP 15S-FQ5042NE Intel® Core™i7-1255U - 16GB - 512GB - Intel Iris Xe - 15.6"" FHD - Win11 - Silver",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15s-fq5042ne-aa_1.jpg,32899.0,11.56,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,Internal Intel card,https://dream2000.com/en/hp-15s-fq5042ne-victus-intelr-coretmi7-1255u-16gb-512gb-intel-iris-xe-15-6-fhd-win11-silver.html,Windows,NONE,0.0,dream2000
HP,HP 15-fa1008ne Victus Gaming Intel® Core™ i7-13700H - 16GB - 512GB - Nvidia GeForce RTX 3050 6GB - 15.6” FHD - Win11 - Ceramic White,HP 15-fa1008ne Victus Gaming Intel® Core™ i7-13700H - 16GB - 512GB - Nvidia GeForce RTX 3050 6GB - 15.6” FHD - Win11 - Ceramic White,https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15-fa1008ne-victus-gaming.jpg,55299.0,11.52,0.0,0.0,15.6 inches,16 GP,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-15-fa1008ne-victus-gaming-intelr-coretm-i7-13700h-16gb-512gb-nvidia-geforce-rtx-3050-6gb-15-6-fhd-win11-ceramic-white.html,Windows,NONE,0.0,dream2000
HP,"HP 15-fa1009ne Victus Gaming Intel® Core™ i5-13500H - 8GB - 1TB SSD - Nvidia GeForce RTX 3050 6GB - 15.6"" FHD - Win 11 - Performance Blue","HP 15-fa1009ne Victus Gaming Intel® Core™ i5-13500H - 8GB - 1TB SSD - Nvidia GeForce RTX 3050 6GB - 15.6"" FHD - Win 11 - Performance Blue",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15-fa1009ne-victus-gaming-.jpg,46000.0,11.54,0.0,0.0,15.6 inches,8 GP,1TB,intel Core i5,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-15-fa1009ne-victus-gaming-intelr-coretm-i5-13500h-8gb-1tb-ssd-nvidia-geforce-rtx-3050-6gb-15-6-fhd-win-11-performance-blue.html,Windows,NONE,0.0,dream2000
HP,HP 16-d1026ne Victus Gaming Intel® Core™ i7-12700H - 16GB - 512GB - Nvidia GeForce RTX 3060 6GB - 16.1”FHD - Win11 - Mica Silver,HP 16-d1026ne Victus Gaming Intel® Core™ i7-12700H - 16GB - 512GB - Nvidia GeForce RTX 3060 6GB - 16.1”FHD - Win11 - Mica Silver,https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-16-d1026ne-victus-gaming-.jpg,56000.0,11.53,0.0,0.0,16.1 inches,NONE,512GB,intel Core i7,NVIDIA® GeForce RTX,https://dream2000.com/en/hp-16-d1026ne-victus-gaming-intelr-coretm-i7-12700h-16gb-512gb-nvidia-geforce-rtx-3060-6gb-16-1-fhd-win11-mica-silver.html,Windows,NONE,0.0,dream2000
HP,"HP 15s-fq5048ne Intel® Core™ i3-1215U - 4GB - 256GB - Intel UHD Graphics - 15.6""FHD - Win 11 - Black","HP 15s-fq5048ne Intel® Core™ i3-1215U - 4GB - 256GB - Intel UHD Graphics - 15.6""FHD - Win 11 - Black",https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15s-fq5048ne.jpg,15499.0,11.43,0.0,0.0,15.6 inches,4 GP,256GB,intel Core i3,Internal Intel card,https://dream2000.com/en/hp-15s-fq5048ne-intelr-coretm-i3-1215u-4gb-256gb-intel-uhd-graphics-15-6-fhd-win-11-black.html,Windows,NONE,0.0,dream2000
HP,HP 15s-Fq5047ne Intel® Core™ i3-1215U - 4GB - 256GB - Intel UHD Graphics - 15.6” FHD - Win 11 - Silver,HP 15s-Fq5047ne Intel® Core™ i3-1215U - 4GB - 256GB - Intel UHD Graphics - 15.6” FHD - Win 11 - Silver,https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-15s-fq5047ne-00_1.jpg,15499.0,11.43,0.0,0.0,15.6 inches,4 GP,256GB,intel Core i3,Internal Intel card,https://dream2000.com/en/hp-15s-fq5047ne-intelr-coretm-i3-1215u-4gb-256gb-intel-uhd-graphics-15-6-fhd-win-11-silver.html,Windows,NONE,0.0,dream2000
HP,HP Pavilion 15-eg2007ne Intel® Core™ i5-1235U - 8GB - 512GB - Nvidia GeForce MX550 2GB - 15.6” FHD - Win11 - Silver,HP Pavilion 15-eg2007ne Intel® Core™ i5-1235U - 8GB - 512GB - Nvidia GeForce MX550 2GB - 15.6” FHD - Win11 - Silver,https://dream2000.com/media/catalog/product/cache/df0fd26a5939738811f1a7c10cac02a5/h/p/hp-pavilion-15-eg2007ne-0.jpg,33299.0,11.67,0.0,0.0,15.6 inches,8 GP,512GB,intel Core i5,NVIDIA® GeForce MX,https://dream2000.com/en/hp-pavilion-15-eg2007ne-intelr-coretm-i5-1235u-8gb-512gb-nvidia-geforce-mx550-2gb-15-6-fhd-win11-silver.html,Windows,NONE,0.0,dream2000
